Scan,Color,Generation,Selection,Progeny,Label (C-G-S-P),Founder
S114,Blue,52,5,3,B-52-5-3,Flynn
S114,Green,55,5,3,G-55-5-3,Good Delta (104)
S114,Red,60,4,3,R-60-4-3,Lyallpur
S114,Orange,1,34,3,O-1-34-3,
S115,Red,1,32,1,R-1-32-1,
S115,Green,1,58,2,G-1-58-2,
S115,Blue,1,143,1,B-1-143-1,
S115,Orange,1,186,3,O-1-186-3,
S116,Orange,1,44,1,O-1-44-1,
S116,Green,1,63,1,G-1-63-1,
S116,Blue,1,202,2,B-1-202-2,
S116,Red,7,12,1,R-7-12-1,
S117,Red,1,105,3,R-1-105-3,
S117,Blue,1,135,1,B-1-135-1,
S117,Orange,1,192,2,O-1-192-2,
S117,Green,7,166,1,G-7-166-1,
S118,Red,1,153,1,R-1-153-1,
S118,Blue,1,213,1,B-1-213-1,
S118,Orange,1,219,2,O-1-219-2,
S118,Green,7,95,2,G-7-95-2,
S119,Blue,60,4,1,B-60-4-1,Lyallpur
S119,Green,1,10,1,G-1-10-1,
S119,Red,1,105,2,R-1-105-2,
S119,Orange,1,155,3,O-1-155-3,
S120,Green,1,73,1,G-1-73-1,
S120,Blue,1,76,1,B-1-76-1,
S120,Orange,1,98,3,O-1-98-3,
S120,Red,1,158,1,R-1-158-1,
S121,Green,1,45,1,G-1-45-1,
S121,Blue,1,71,2,B-1-71-2,
S121,Orange,1,134,3,O-1-134-3,
S121,Red,7,128,2,R-7-128-2,
S122,Blue,1,20,2,B-1-20-2,
S122,Green,1,138,2,G-1-138-2,
S122,Orange,1,186,2,O-1-186-2,
S122,Red,7,125,1,R-7-125-1,
S123,Red,51,5,1,R-51-5-1,Everest
S123,Orange,1,202,1,O-1-202-1,
S124,Blue,1,79,1,B-1-79-1,
S124,Orange,1,98,1,O-1-98-1,
S124,Red,1,122,1,R-1-122-1,
S124,Green,1,212,2,G-1-212-2,
S125,Blue,55,5,2,B-55-5-2,Good Delta (104)
S125,Red,63,4,1,R-63-4-1,Meloy
S125,Orange,1,5,2,O-1-5-2,
S125,Green,1,175,3,G-1-175-3,
S126,Red,1,115,1,R-1-115-1,
S126,Blue,1,205,3,B-1-205-3,
S126,Orange,7,66,2,O-7-66-2,
S126,Green,7,211,3,G-7-211-3,
S127,Red,1,66,2,R-1-66-2,
S127,Green,1,87,1,G-1-87-1,
S127,Orange,1,124,3,O-1-124-3,
S127,Blue,7,60,1,B-7-60-1,
S128,Red,47,4,1,R-47-4-1,Arequipa
S128,Orange,1,31,1,O-1-31-1,
S128,Green,1,50,3,G-1-50-3,
S128,Blue,1,219,3,B-1-219-3,
S129,Green,1,58,1,G-1-58-1,
S129,Blue,1,129,2,B-1-129-2,
S129,Red,7,6,1,R-7-6-1,
S129,Orange,7,30,3,O-7-30-3,
S130,Green,1,86,3,G-1-86-3,
S130,Blue,1,109,1,B-1-109-1,
S130,Orange,1,186,1,O-1-186-1,
S130,Red,7,71,2,R-7-71-2,
S131,Red,1,8,1,R-1-8-1,
S131,Green,1,56,3,G-1-56-3,
S131,Blue,1,64,3,B-1-64-3,
S131,Orange,1,179,2,O-1-179-2,
S132,Green,1,43,3,G-1-43-3,
S132,Orange,1,89,1,O-1-89-1,
S132,Red,1,133,3,R-1-133-3,
S132,Blue,1,151,3,B-1-151-3,
S133,Green,52,5,1,G-52-5-1,Flynn
S133,Red,1,39,2,R-1-39-2,
S133,Blue,1,68,1,B-1-68-1,
S133,Orange,7,122,1,O-7-122-1,
S134,Blue,1,14,3,B-1-14-3,
S134,Red,1,126,2,R-1-126-2,
S134,Orange,7,45,1,O-7-45-1,
S134,Green,7,128,1,G-7-128-1,
S135,Blue,1,27,3,B-1-27-3,
S135,Green,1,39,3,G-1-39-3,
S135,Red,1,168,3,R-1-168-3,
S135,Orange,1,180,1,O-1-180-1,
S136,Green,51,5,3,G-51-5-3,Everest
S136,Red,64,5,1,R-64-5-1,Minia
S136,Blue,1,43,1,B-1-43-1,
S136,Orange,1,74,1,O-1-74-1,
S137,Red,68,3,3,R-68-3-3,Palmella Blue (79B)
S137,Blue,1,28,1,B-1-28-1,
S137,Green,1,181,1,G-1-181-1,
S137,Orange,7,39,2,O-7-39-2,
S138,Green,53,5,2,G-53-5-2,Glabron
S138,Red,1,37,2,R-1-37-2,
S138,Blue,1,143,2,B-1-143-2,
S138,Orange,1,165,1,O-1-165-1,
S139,Green,1,121,3,G-1-121-3,
S139,Orange,1,142,3,O-1-142-3,
S139,Blue,1,205,2,B-1-205-2,
S139,Red,1,216,1,R-1-216-1,
S140,Green,1,208,2,G-1-208-2,
S140,Orange,7,76,1,O-7-76-1,
S140,Blue,7,190,3,B-7-190-3,
S140,Red,7,204,3,R-7-204-3,
S141,Red,57,4,1,R-57-4-1,Hannchen
S141,Blue,1,71,1,B-1-71-1,
S141,Green,1,107,1,G-1-107-1,
S141,Orange,7,123,3,O-7-123-3,
S142,Blue,59,5,2,B-59-5-2,Lion
S142,Orange,1,91,3,O-1-91-3,
S142,Red,1,100,3,R-1-100-3,
S142,Green,7,178,3,G-7-178-3,
S143,Red,1,86,1,R-1-86-1,
S143,Green,1,117,3,G-1-117-3,
S143,Orange,1,174,3,O-1-174-3,
S143,Blue,7,116,1,B-7-116-1,
S144,Blue,1,101,1,B-1-101-1,
S144,Orange,1,102,1,O-1-102-1,
S144,Red,1,125,2,R-1-125-2,
S144,Green,1,166,3,G-1-166-3,
S145,Green,1,50,1,G-1-50-1,
S145,Red,1,79,3,R-1-79-3,
S145,Orange,1,100,2,O-1-100-2,
S145,Blue,7,204,2,B-7-204-2,
S146,Red,45,3,1,R-45-3-1,Algerian
S146,Blue,58,3,1,B-58-3-1,Horn
S146,Green,59,5,3,G-59-5-3,Lion
S146,Orange,1,167,2,O-1-167-2,
S147,Orange,1,49,3,O-1-49-3,
S147,Red,1,97,1,R-1-97-1,
S147,Blue,1,123,3,B-1-123-3,
S147,Green,1,191,1,G-1-191-1,
S148,Orange,1,81,3,O-1-81-3,
S148,Red,1,137,2,R-1-137-2,
S148,Green,1,189,3,G-1-189-3,
S148,Blue,7,34,3,B-7-34-3,
S149,Red,1,69,2,R-1-69-2,
S149,Orange,1,133,2,O-1-133-2,
S149,Green,1,178,2,G-1-178-2,
S149,Blue,1,181,3,B-1-181-3,
S150,Orange,1,33,1,O-1-33-1,
S150,Red,1,87,3,R-1-87-3,
S150,Blue,1,107,2,B-1-107-2,
S150,Green,1,216,3,G-1-216-3,
S151,Blue,1,7,3,B-1-7-3,
S151,Orange,1,32,3,O-1-32-3,
S151,Red,1,187,1,R-1-187-1,
S151,Green,7,39,3,G-7-39-3,
S152,Red,1,23,3,R-1-23-3,
S152,Orange,1,49,2,O-1-49-2,
S152,Green,1,117,2,G-1-117-2,
S152,Blue,1,123,2,B-1-123-2,
S153,Green,1,50,2,G-1-50-2,
S153,Orange,1,134,1,O-1-134-1,
S153,Red,1,210,1,R-1-210-1,
S153,Blue,7,42,3,B-7-42-3,
S154,Green,1,41,2,G-1-41-2,
S154,Blue,1,53,2,B-1-53-2,
S154,Orange,7,74,3,O-7-74-3,
S154,Red,7,134,1,R-7-134-1,
S155,Red,1,140,3,R-1-140-3,
S155,Green,1,160,2,G-1-160-2,
S155,Orange,1,166,2,O-1-166-2,
S155,Blue,1,170,2,B-1-170-2,
S156,Blue,62,5,1,B-62-5-1,Manchuria
S156,Red,1,111,2,R-1-111-2,
S156,Green,1,140,2,G-1-140-2,
S156,Orange,7,135,1,O-7-135-1,
S157,Red,1,76,3,R-1-76-3,
S157,Green,1,85,2,G-1-85-2,
S157,Orange,1,160,1,O-1-160-1,
S157,Blue,7,21,1,B-7-21-1,
S158,Orange,1,20,1,O-1-20-1,
S158,Green,1,139,2,G-1-139-2,
S158,Red,1,147,3,R-1-147-3,
S158,Blue,7,211,1,B-7-211-1,
S159,Red,1,51,2,R-1-51-2,
S159,Blue,1,159,3,B-1-159-3,
S159,Green,1,200,2,G-1-200-2,
S159,Orange,7,83,3,O-7-83-3,
S160,Green,1,52,3,G-1-52-3,
S160,Red,1,70,1,R-1-70-1,
S160,Orange,1,131,1,O-1-131-1,
S160,Blue,1,209,2,B-1-209-2,
S161,Red,1,38,2,R-1-38-2,
